Vertex: node:74224, Triagle Count: 7
Vertex: node:109681, Triagle Count: 9
Vertex: node:127794, Triagle Count: 666
Vertex: node:127661, Triagle Count: 15
Vertex: node:54947, Triagle Count: 105
Vertex: node:28549, Triagle Count: 6
Vertex: node:28416, Triagle Count: 276
Vertex: node:131263, Triagle Count: 45
Vertex: node:58773, Triagle Count: 1
Vertex: node:131396, Triagle Count: 114
Vertex: node:10662, Triagle Count: 255
Vertex: node:7898, Triagle Count: 53
Vertex: node:53618, Triagle Count: 6
Vertex: node:1663, Triagle Count: 741
Vertex: node:132594, Triagle Count: 687
Vertex: node:31930, Triagle Count: 8
Vertex: node:55179, Triagle Count: 6
Vertex: node:31097, Triagle Count: 9
Vertex: node:38264, Triagle Count: 590
Vertex: node:123704, Triagle Count: 13
Vertex: node:74356, Triagle Count: 6
Vertex: node:104525, Triagle Count: 120
Vertex: node:107152, Triagle Count: 75
Vertex: node:103328, Triagle Count: 155
Vertex: node:31931, Triagle Count: 3
Vertex: node:100821, Triagle Count: 636
Vertex: node:53617, Triagle Count: 16
Vertex: node:5101, Triagle Count: 6
Vertex: node:108484, Triagle Count: 1
Vertex: node:1664, Triagle Count: 465
Vertex: node:30864, Triagle Count: 11
Vertex: node:4293, Triagle Count: 10
Vertex: node:104524, Triagle Count: 1
Vertex: node:49024, Triagle Count: 84
Vertex: node:76752, Triagle Count: 1
Vertex: node:106921, Triagle Count: 6
Vertex: node:127792, Triagle Count: 11
Vertex: node:54949, Triagle Count: 28
Vertex: node:109550, Triagle Count: 3
Vertex: node:82643, Triagle Count: 5
Vertex: node:30730, Triagle Count: 46
Vertex: node:38261, Triagle Count: 3
Vertex: node:82776, Triagle Count: 1
Vertex: node:10793, Triagle Count: 365
Vertex: node:5235, Triagle Count: 3
Vertex: node:5102, Triagle Count: 21
Vertex: node:7896, Triagle Count: 6
Vertex: node:39460, Triagle Count: 2
Vertex: node:130064, Triagle Count: 95
Vertex: node:9193, Triagle Count: 3
Vertex: node:102128, Triagle Count: 3
Vertex: node:4292, Triagle Count: 1
Vertex: node:123706, Triagle Count: 648
Vertex: node:38262, Triagle Count: 3
Vertex: node:101052, Triagle Count: 195
Vertex: node:80378, Triagle Count: 3
Vertex: node:6699, Triagle Count: 21
Vertex: node:103326, Triagle Count: 231
Vertex: node:57446, Triagle Count: 3
Vertex: node:132599, Triagle Count: 4
Vertex: node:7636, Triagle Count: 11
Vertex: node:56247, Triagle Count: 1
